sentence_index,sentence_type
0,Statement
1,Clarify
2,Emphasis
3,Statement
4,Statement
5,Statement
6,Statement
7,Clarify
8,Statement
9,Statement
10,Statement
11,Statement
12,whQuestion
13,whQuestion
14,nAnswer
15,Statement
16,Statement
17,Clarify
18,Statement
19,whQuestion
20,Statement
21,Reject
22,whQuestion
23,nAnswer
24,Statement
25,yAnswer
26,Statement
27,Statement
28,Clarify
29,Statement
30,Statement
31,Statement
32,Reject
33,Reject
34,Clarify
35,Statement
36,Clarify
37,Statement
38,Statement
39,Statement
40,Clarify
41,Statement
42,Statement
43,Clarify
44,Statement
45,Statement
46,Statement
47,nAnswer
48,Other
49,Statement
50,Statement
51,Statement
52,Other
53,Statement
54,Clarify
55,Statement
56,Statement
57,Statement
58,Clarify
59,Statement
60,Clarify
61,Statement
62,Clarify
63,Statement
64,Clarify
65,Accept
66,Clarify
67,Statement
68,Statement
69,Statement
70,Reject
71,Statement
72,Statement
73,Statement
74,Clarify
75,Statement
76,Other
77,Statement
78,Clarify
79,Statement
80,whQuestion
81,Statement
82,Clarify
83,Statement
84,Clarify
85,Statement
86,whQuestion
87,Statement
88,ynQuestion
89,Statement
90,Other
91,Greet
92,Clarify
93,Clarify
94,Emphasis
95,Statement
96,Clarify
97,whQuestion
98,Statement
99,whQuestion
100,ynQuestion
101,Accept
102,whQuestion
103,ynQuestion
104,whQuestion
105,Statement
106,Reject
107,System
108,whQuestion
109,nAnswer
110,Clarify
111,Accept
112,Statement
113,Reject
114,Clarify
115,Statement
116,Statement
117,Clarify
118,ynQuestion
119,Statement
120,whQuestion
121,Statement
122,Reject
123,Accept
124,Reject
125,Statement
126,Statement
127,nAnswer
128,Reject
129,Statement
130,whQuestion
131,Statement
132,Statement
133,whQuestion
134,Statement
135,Statement
136,whQuestion
137,Statement
138,whQuestion
139,Clarify
140,Statement
141,Statement
142,Reject
143,Statement
144,Reject
145,Reject
146,Statement
147,Clarify
148,Statement
149,Statement
150,ynQuestion
151,Statement
152,Reject
153,Statement
154,Statement
155,Reject
156,Reject
157,Emphasis
158,Clarify
159,Statement
160,Clarify
161,Statement
162,whQuestion
163,Statement
164,Statement
165,Statement
166,ynQuestion
167,Statement
168,ynQuestion
169,Statement
170,Clarify
171,Statement
172,Reject
173,ynQuestion
174,Statement
175,Reject
176,whQuestion
177,Statement
178,Emphasis
179,Statement
180,whQuestion
181,Statement
182,Other
183,Statement
184,Clarify
185,Statement
186,Emphasis
187,Statement
188,Statement
189,Statement
190,Statement
191,Reject
192,Statement
193,Statement
194,whQuestion
195,Emphasis
196,whQuestion
197,Clarify
198,yAnswer
199,Emphasis
200,Clarify
201,Reject
202,Reject
203,ynQuestion
204,Statement
205,Statement
206,Other
207,whQuestion
208,ynQuestion
209,Greet
210,ynQuestion
211,Emphasis
212,Statement
213,Statement
214,Statement
